Central India,Aggarwal Traders & Publishers,Satti Bazar Raipur Chhattisgarh - 492001,santosh_atr@yahoo.co.in,7489992913
Central India,Aggarwal Publishers & Distributors,"Sultania Road Pustak Bazar Bhopal - 462001, Madhya Pradesh",,
Central India,ASM Book Centre ( Gwalior),"F-4, Hira Residency Suba Ki Payaga Near PGV College, Jiwaji Ganj Gwalior  - 474001, Madhya Pradesh",asmbookcenter@gmail.com,9098063635
Central India,Central Book House (Raipur),"SADAR BAZAR, RAIPUR- 492001, Chhattisgarh",centralbookhouse@gmail.com,
Central India,Education World (Indore),"F-1, HIG Colony, (1st Floor), RSS Nagar Indore-452 011, Madhya Pradesh",nfo@educationworldweb.com,9827067201
Central India,Jain Book Depot (Raipur),Sadar Bazar Raipur Chhattisgarh - 493118,,8770768688
Central India,Landmark The Book Store,"E-5/21, Arera Colony, Habibganj Police Station Road, Bhopal - 462016 Madhya Pradesh",,7552465238
Central India,New Jain Book Stall (Indore),"2/2, Manak Chowk Khajuri Bazar Subhash Chowk Indore- 452001, Madhya Pradesh",nibs2010@gmail.com,9926636333
Central India,Rajesh Book Centre,"Sultania Road Bhopal - 462001, Madhya Pradesh",agrawalnileshkiran@gmail.com,9755414190
Central India,Shiva Shakti Book Centre,"624 M G Road Khajuri Bazar Indore - 452002, Madhya Pradesh",ssbcbooks@gmail.com,9425063647
East India,Amit Book Depot (Patna),"1st, Floor, Tulsi Apartments Govind Mitra Road Patna -800004, Bihar",info@amitbooks.com,9431012326
East India,Jyoti The Book People,"F-11, I.I.T. Market Jadavpur Kolkata - 700032, West Bengal",books@jyotibooks.com,
East India,K.M. Enterprise,"43, Shiba Pada Pal Pally, P.O. - Ariadaha, Kolkata -700057, West Bengal",,9051228783
East India,India Book Centre,"Chowhatta, Ashok Rajpath, Patna 800004, Bihar",ickaushalagrawal@gmail.com,9308896370
East India,J.N. Ghosh & Sons,"6, Bankim Chatterjee St, College Square, Kolkata, West Bengal 700073",,033-22417519
East India,Gyan Ganga Ltd.,"2nd Floor Gyan Ganga Nilayam In the Campus of Gyan Ganga Trade Centre Chamanchak, By Pass Patna Opp. Patrakar Nagar Thana Patna -800016, Jharkhand",ggpvtltd@gmail.com,09304826650
East India,Katha-O-Kahini (Book Sellers) Pvt Ltd,"100A & B Kabi Sukanta Sarani Kolkata- 700085, West Bengal",kathaokahini@gmail.com,09836470902
East India,Katha-O-Kahini (Book Sellers) Pvt Ltd (Bhubaneswar),"Plot No. 145, Cuttack Road Khordha Bhubaneswar-751006 Odisha ",,
East India,Kitab Mahal,College Square Cuttack-753 003 Odisha,mail@kitabmahal.com,
East India,A.K. Mishra Agencies Pvt. Ltd.,"Satyabhama, Roxy Lane, Badambadi Colony, Cuttack- 753009, Odisha ",akm.pvt.ltd_ecdrid@vsnl.in,
East India,Bokaro Students Friend P Ltd. (Ranchi),Chandralaya Old HB Road Opp. Shrilok Complex Ranchi Jharkhand-834001,,9279705046
East India,Bokaro Students Friend Pvt. Ltd. (Patna),Annpurna Complex Noya Tola Patna - 800004 Bihar,sfpatna@yahoo.com,9234634706
East India,Book Centre ( Kolkata),"76 B B Ganguly Street, Kolkata - 700012, West Bengal",kolkatabookcentre@gmail.com,9830106895
East India,Book Corporation (K G Maheswari),"4, R N Mukherjee Road Kolkata- 700001 West Bengal",,9331000405
East India,Book House (Kol.),"BMC - 69/N, BI-D G.M. Sarani, Mondal Ganthi Beside Insact II Cable TV Centre Kolkata - 700020 West Bengal",,8013073830
East India,"Book House, Asansol","Bastin Bazar Road, Asansol-713301 West Bengal",bookhouse03@gmail.com,9434747506
East India,Book Life Agency,"Shop No.4,Super Market Main Road ,Udit Nagar Rourkela-769012, Odisha",,9437689537
East India,"Book Zone, (Ranchi)","Shop No LL08, Hari Om Tower, 70, Circular Road, Ranchi-834001 Jharkhand",bz_ranchi@yahoo.com,
East India,Crown Books Publishers & Distributors,"Aryan Tower East Jail Road Ranchi - 834001, Bihar",crownbookspubdist@yahoo.com,6512213735
East India,Anand Gyan Prakashan (Ranchi),"Bhattacharya Lane, Mahavir Chowk, Upper Bazar Ranchi - 834001, Jharkhand",,9431927138
East India,Maa Sarada Book Agency,"102, Main Road East New Barrackpore Kolkata -700131, West Bengal",-maasaradabook2014@gmail.com,9432182602
East India,New Pustak Sadan,"Kalyani Market Bye Pass Road, Chas - 827 013 Bokaro Jharkhand",npschas@yahoo.com,9431378416
East India,OCM Books,"P-7, CIT Road, Scheme - 52 Kolkata - 700014, West Bengal",ocmbooks@hotmail.com,9830141141
East India,Padmalaya (Bhubaneswar),"Plot No. 31/A, Janapath, U nit-3 Bhubaneswar-753001 Dist Khordha,Odisha ",,9437026922
East India,Shree Madhava Book Store,"P/5, Rajabagicha Labour Colony Cuttack - 753009, Odisha ",,9437024244
East India,Shri Madhab Book Store,Labour Colony Near Monalisa Hotel  Badambadi Cuttack - 753009 Odisha,mbsctc@sify.com,9437024244
East India,Sriram Books,"Plot No-14, Industrial Colony Unit-III, Kharvel Nagar Bhubaneswar - 751001, Odisha ",srirambookbbsr@gmail.com,9439921093
East India,Tripathy Book Store,"College Square, In Front Of Citylife Kendrapada - 754211, Odisha ",tripathybookstorekp@gmail.com,9438847324
East India,Vidya Educational Enterprise,"30, Suresh Chandra Ganguly Lane Salkia, Howrah-711106, West Bengal",vidya1education@gmail.com,8420507898
East India,Sharda Book Depot,"508, Jaiswal Complex, Shop No.12 (Near Mansarover Hotel) Sakchi, Jamshedpur-831001, Bihar",shardadeepak@rediffmail.com,"8340605970, 9431566455"
North India,Bharat Book Depot,"S.C.O. 2, Santpura Complex Opp. GNG College Yamuna Nagar Haryana-135001",,8462447349
North India,College Book Store,"Shop No. 23 42 Rajiv Gandhi Complex DispensaryRoad Dehradun, Uttrakhand",,7830977339
